x,income,type,age
7570,1.00E+05,sponsorAge,44
8084,1.00E+05,alienAge,32
8741,1.00E+05,alienAge,27
9311,1.00E+05,alienAge,31
9655,1.00E+05,alienAge,41
9668,1.00E+05,alienAge,46
9687,1.00E+05,alienAge,33
10109,1.00E+05,alienAge,38
10260,1.00E+05,alienAge,24
11134,1.00E+05,alienAge,41
11268,1.00E+05,alienAge,37
11546,1.00E+05,alienAge,24
11753,1.00E+05,alienAge,23
11808,1.00E+05,alienAge,29
11823,1.00E+05,alienAge,27
11936,1.00E+05,alienAge,34
12268,1.00E+05,alienAge,24
12277,1.00E+05,alienAge,22
13093,1.00E+05,alienAge,38
13312,1.00E+05,alienAge,36
13911,1.00E+05,alienAge,18
14025,1.00E+05,alienAge,35
14518,1.00E+05,alienAge,30
14562,1.00E+05,alienAge,27
14717,1.00E+05,alienAge,25
15641,1.00E+05,alienAge,45
5101,99877,sponsorAge,24
13172,99877,alienAge,26
2928,99673.6,sponsorAge,55
10999,99673.6,alienAge,38
659,99015,sponsorAge,48
8730,99015,alienAge,21
4027,99000,sponsorAge,33
12098,99000,alienAge,30
141,98965,sponsorAge,42
8212,98965,alienAge,29
5918,98625,sponsorAge,42
13989,98625,alienAge,37
3701,98508,sponsorAge,28
11772,98508,alienAge,28
2522,98500,sponsorAge,38
10593,98500,alienAge,32
2330,98414,sponsorAge,47
10401,98414,alienAge,33
418,98323,sponsorAge,39
8489,98323,alienAge,21
2874,98000,sponsorAge,53
7440,98000,sponsorAge,37
10945,98000,alienAge,39
15511,98000,alienAge,26
2862,97760,sponsorAge,52
10933,97760,alienAge,41
5723,97718,sponsorAge,48
13794,97718,alienAge,35
1986,97709,sponsorAge,74
10057,97709,alienAge,59
6964,97538,sponsorAge,37
15035,97538,alienAge,32
413,97506,sponsorAge,46
8484,97506,alienAge,40
4534,97375,sponsorAge,60
12605,97375,alienAge,30
6760,97002,sponsorAge,39
14831,97002,alienAge,27
1058,97000,sponsorAge,46
9129,97000,alienAge,26
4837,96705,sponsorAge,54
12908,96705,alienAge,47
5883,96433.32,sponsorAge,64
13954,96433.32,alienAge,46
4389,96000,sponsorAge,47
7240,96000,sponsorAge,70
7749,96000,sponsorAge,40
7823,96000,sponsorAge,50
12460,96000,alienAge,36
15311,96000,alienAge,38
15820,96000,alienAge,37
15894,96000,alienAge,24
5440,95950,sponsorAge,50
13511,95950,alienAge,26
6050,95929,sponsorAge,30
14121,95929,alienAge,35
3370,95800,sponsorAge,38
11441,95800,alienAge,27
1825,95729.68,sponsorAge,35
9896,95729.68,alienAge,36
5485,95550,sponsorAge,26
13556,95550,alienAge,27
4381,95388,sponsorAge,50
12452,95388,alienAge,28
1570,95304,sponsorAge,39
9641,95304,alienAge,24
4801,95038,sponsorAge,62
12872,95038,alienAge,33
1333,95000,sponsorAge,49
1922,95000,sponsorAge,32
3710,95000,sponsorAge,40
4307,95000,sponsorAge,31
4844,95000,sponsorAge,22
5050,95000,sponsorAge,38
5280,95000,sponsorAge,35
5865,95000,sponsorAge,29
9404,95000,alienAge,22
